Club,County,Province,Latitude,Longitude,Status
Lahardane MacHales GAA,Mayo,Connacht,53.984884,-9.325321,matched_gaa
Louisburgh GAA,Mayo,Connacht,53.759035,-9.808046,matched_generic
Mayo GAA,Mayo,Connacht,53.853518,-9.288577,matched_gaa
Mayo Gaels,Mayo,Connacht,53.763378,-9.118223,matched_gaa
Moygownagh GAA,Mayo,Connacht,54.165849,-9.346337,matched_gaa
Parke-Keelogues-Crimlin GAA,Mayo,Connacht,53.91064,-9.196795,matched_gaa
Rossport,Mayo,Connacht,54.2846234,-9.7927068,matched_gaa
Shrule-Glencorrib GAA,Mayo,Connacht,53.529624,-9.080245,matched_gaa
Swinford GAA,Mayo,Connacht,53.934364,-8.951856,matched_generic
The Neale GAA,Mayo,Connacht,53.537486,-9.273471,matched_generic
Tooreen GAA,Mayo,Connacht,53.8278,-8.76099,matched_gaa
Tourmakeady GAA,Mayo,Connacht,53.663085,-9.352536,matched_gaa
Westport GAA,Mayo,Connacht,53.808005,-9.521518,matched_gaa
Athleague GAA,Roscommon,Connacht,53.574515,-8.26749,matched_generic
Ballinameen GAA,Roscommon,Connacht,53.907983,-8.302795,matched_gaa
Boyle GAA,Roscommon,Connacht,53.974903,-8.297399,matched_gaa
"Clann na nGael GAA, Johnstown",Roscommon,Connacht,53.368663,-8.021439,matched_gaa
Creggs GAA,Roscommon,Connacht,53.592756,-8.366389,matched_generic
Elphin GAA,Roscommon,Connacht,53.847947,-8.192168,matched_generic
Four Roads GAA,Roscommon,Connacht,53.51028,-8.223839,matched_generic
Fuerty GAA,Roscommon,Connacht,53.589854,-8.311494,matched_gaa
Kilbride GAA,Roscommon,Connacht,53.700679,-8.209884,matched_gaa
Kilglass Gaels,Roscommon,Connacht,53.826649,-7.970465,matched_generic
Kilmore GAA,Roscommon,Connacht,53.8750948,-8.052254,matched_generic
"Michael Glaveys GAA, Ballinlough",Roscommon,Connacht,53.751708,-8.633543,matched_gaa
Oran GAA,Roscommon,Connacht,53.659391,-8.276803,matched_gaa
Padraig Pearses,Roscommon,Connacht,53.336777,-8.152755,matched_gaa
Roscommon GAA,Roscommon,Connacht,53.624881,-8.183109,matched_gaa
Roscommon Gaels,Roscommon,Connacht,53.625055,-8.1811431,matched_gaa
Roscommon Gaels,Roscommon,Connacht,53.621402,-8.207772,matched_gaa
Shannon Gaels GAA,Roscommon,Connacht,53.912818,-8.218032,matched_gaa
"St. Aidan's GAA, Ballyforan",Roscommon,Connacht,53.47044482,-8.2738261,matched_gaa
St. Barry's GAA,Roscommon,Connacht,53.742527,-7.9256454,matched_gaa
"St. Brigid's GAA, Kiltoom",Roscommon,Connacht,53.485433,-8.026574,matched_generic
St. Croans GAA,Roscommon,Connacht,53.721699,-8.381456,matched_gaa
"St. Dominics GAA, Knockcroghery",Roscommon,Connacht,53.572243,-8.076381,matched_gaa
St. Faithleachs GAA,Roscommon,Connacht,53.6761571,-8.01000103,matched_gaa
"St. Joseph's GAA, Kilteevan",Roscommon,Connacht,53.634842,-8.125172,matched_generic
"St. Kevin's GAA, Castlerea",Roscommon,Connacht,53.770402,-8.487095,matched_gaa
St. Michael's GAA,Roscommon,Connacht,53.992845,-8.173175,matched_gaa
St. Ronan's GAA,Roscommon,Connacht,54.072147,-8.200167,matched_generic
Strokestown GAA,Roscommon,Connacht,53.7784702,-8.1124965,matched_gaa
Strokestown GAA,Roscommon,Connacht,53.767642,-8.104625,matched_gaa
Tremane Hurling Club,Roscommon,Connacht,53.578334,-8.204345,matched_gaa
Tulsk Lord Edwards GAA,Roscommon,Connacht,53.77448,-8.23901,matched_gaa
Western Gaels GAA,Roscommon,Connacht,53.870701,-8.408104,matched_gaa
"Éire Óg GAA, Loughglinn",Roscommon,Connacht,53.847835,-8.575697,matched_gaa
Ballisodare GAA,Sligo,Connacht,54.2134,-8.5214,matched_gaa
Ballymote GAA,Sligo,Connacht,54.095545,-8.519518,matched_gaa
Bunninadden GAA,Sligo,Connacht,54.039021,-8.574164,matched_gaa
Castleconnor GAA,Sligo,Connacht,54.166087,-9.077638,matched_gaa
Cloonacool GAA,Sligo,Connacht,54.115352,-8.757838,matched_gaa
Coolaney/Mullinabreena GAA,Sligo,Connacht,54.09545,-8.66044,matched_gaa
Coolera/Strandhill,Sligo,Connacht,54.24474,-8.5423,matched_gaa
Curry GAA,Sligo,Connacht,54.0054,-8.7848,matched_gaa
Drumcliffe/Rosses Point,Sligo,Connacht,54.3399,-8.51937,no_match
Easkey GAA,Sligo,Connacht,54.289903,-8.978898,matched_generic
Eastern Harps,Sligo,Connacht,54.043981,-8.44655,matched_gaa
Enniscrone/Kilglass,Sligo,Connacht,54.23885,-9.055,matched_gaa
Geevagh GAA,Sligo,Connacht,54.1007,-8.24149,matched_gaa
"Naomh Eoin Hurling, Sligo",Sligo,Connacht,54.26512,-8.500635,matched_gaa
Owenmore Gaels,Sligo,Connacht,54.1778,-8.4897,matched_gaa
Shamrock Gaels,Sligo,Connacht,54.15705,-8.37211,matched_gaa
Sligo GAA,Sligo,Connacht,54.257207,-8.468033,matched_gaa
St. Farnan's,Sligo,Connacht,54.2431,-8.81687,matched_gaa
"St. John's GAA, Carraroe",Sligo,Connacht,54.23804,-8.46383,matched_gaa
"St. Joseph's GAA, Calry",Sligo,Connacht,54.269048,-8.417207,matched_gaa
"St. Mary's GAA, Sligo",Sligo,Connacht,54.26503,-8.5008,matched_gaa
St. Michael's GAA,Sligo,Connacht,54.1997,-8.362441,matched_gaa
St. Molaise Gaels,Sligo,Connacht,54.395611,-8.518789,matched_gaa
"St. Patrick's GAA, Skreen/Dromard",Sligo,Connacht,54.2406251,-8.6795506,matched_gaa
Tourlestrane GAA,Sligo,Connacht,54.038426,-8.834148,matched_gaa
Tubbercurry GAA,Sligo,Connacht,54.05943,-8.722967,matched_gaa
Asca,Carlow,Leinster,52.838715,-6.907458,matched_generic
Ballinabranna,Carlow,Leinster,52.786211,-6.985106,matched_gaa
Ballinkillen,Carlow,Leinster,52.648785,-6.927971,matched_gaa
Ballon,Carlow,Leinster,52.735408,-6.792665,matched_gaa
Carlow GAA,Carlow,Leinster,52.847063,-6.916446,matched_gaa
Carlow Town,Carlow,Leinster,52.848618,-6.914983,matched_gaa
Clonmore,Carlow,Leinster,52.854258,-6.569956,matched_gaa
"Erin's Own, Mhuine Bheag",Carlow,Leinster,52.708817,-6.948737,matched_gaa
Fighting Cocks,Carlow,Leinster,52.770065,-6.837975,matched_gaa
Grange,Carlow,Leinster,52.841736,-6.786701,matched_gaa
Kilbride,Carlow,Leinster,52.719653,-6.721237,matched_gaa
Kildavin/Clonegal,Carlow,Leinster,52.683283,-6.675586,matched_gaa
Leighlinbridge,Carlow,Leinster,52.741804,-6.964656,matched_gaa
Michael Davitt,Carlow,Leinster,52.738977,-6.982401,matched_gaa
Mount Leinster Rangers,Carlow,Leinster,52.590449,-6.91204,matched_gaa
Naomh Bríd,Carlow,Leinster,52.739001,-6.98256,matched_gaa
"Naomh Eoin, Myshall",Carlow,Leinster,52.687349,-6.7871,matched_gaa
O'Hanrahan's,Carlow,Leinster,52.846592,-6.912386,matched_gaa
Old Leighlin,Carlow,Leinster,52.737925,-7.020453,matched_gaa
Palatine,Carlow,Leinster,52.828711,-6.874939,matched_gaa
Rathvilly,Carlow,Leinster,52.87785,-6.695365,matched_gaa
Setanta,Carlow,Leinster,52.838695,-6.90737,matched_generic
St. Andrew's,Carlow,Leinster,52.708891,-6.948602,matched_gaa
"St. Cailins GAA, Fenagh",Carlow,Leinster,52.716439,-6.8469,matched_gaa
St. Mullin's,Carlow,Leinster,52.510704,-6.922378,matched_gaa
"St. Patrick's GAA, Tullow",Carlow,Leinster,52.807953,-6.744771,matched_gaa
Tinryland,Carlow,Leinster,52.799333,-6.880853,matched_gaa
Éire Óg,Carlow,Leinster,52.83017,-6.917612,matched_gaa
Ballyboughal GAA,Dublin,Leinster,53.525267,-6.269422,matched_gaa
Ballyfermot De La Salle GAA,Dublin,Leinster,53.34348,-6.342198,no_match
Ballymun Kickhams,Dublin,Leinster,53.417334,-6.262884,matched_gaa
Beann Eadair GAA,Dublin,Leinster,53.379083,-6.067487,matched_gaa
Cabinteely GAA,Dublin,Leinster,53.260309,-6.14019,matched_gaa
Castleknock GAA,Dublin,Leinster,53.364357,-6.387301,matched_gaa
Castleknock GAA,Dublin,Leinster,53.370971,-6.388988,matched_gaa
Castleknock GAA,Dublin,Leinster,53.366298,-6.469896,matched_gaa
Civil Service Football,Dublin,Leinster,53.344911,-6.311863,matched_gaa
Clann Mhuire GAA,Dublin,Leinster,53.586241,-6.29257,matched_gaa
"Clanna Gael GAA, Fontenoy",Dublin,Leinster,53.337659,-6.216325,matched_gaa
Clontarf GAA,Dublin,Leinster,53.369546,-6.184341,matched_gaa
Commercials Hurling Club,Dublin,Leinster,53.285001,-6.459471,matched_gaa
Craobh Chiaráin GAA,Dublin,Leinster,53.408895,-6.198839,matched_gaa
Croí Ró Naofa,Dublin,Leinster,53.276753,-6.384296,matched_generic
Crumlin GAA,Dublin,Leinster,53.323219,-6.315701,matched_generic
Cuala GAA,Dublin,Leinster,53.271477,-6.135358,no_match
Cuala GAA,Dublin,Leinster,53.280118,-6.112511,matched_generic
Cuala GAA,Dublin,Leinster,53.273141,-6.15803,matched_generic
Cuala GAA,Dublin,Leinster,53.222929,-6.121127,matched_generic
Dublin GAA,Dublin,Leinster,53.37292,-6.218811,matched_gaa
Dublin GAA,Dublin,Leinster,53.360691,-6.2522263,matched_gaa
Erin Go Bragh,Dublin,Leinster,53.401091,-6.428092,matched_generic
Erin Go Bragh,Dublin,Leinster,53.406268,-6.421967,matched_generic
Erins Isle GAA,Dublin,Leinster,53.384272,-6.297868,matched_gaa
Faughs GAA,Dublin,Leinster,53.295837,-6.32946,matched_gaa
Fingal Ravens,Dublin,Leinster,53.503759,-6.304899,matched_gaa
Fingallians GAA,Dublin,Leinster,53.467436,-6.212652,matched_gaa
Foxrock Cabinteely,Dublin,Leinster,53.2597522,-6.1401294,matched_gaa
Garda,Dublin,Leinster,53.378686,-6.445363,matched_gaa
Garristown GAA,Dublin,Leinster,53.566302,-6.377074,matched_gaa
Geraldine P. Morans GAA,Dublin,Leinster,53.267361,-6.162816,matched_generic
Good Counsel GAA,Dublin,Leinster,53.335752,-6.306859,matched_gaa
Innisfails GAA,Dublin,Leinster,53.411121,-6.185112,matched_gaa
Kevins GAA,Dublin,Leinster,53.329953,-6.2950785,matched_gaa
Kilmacud Crokes,Dublin,Leinster,53.2732983,-6.1933803,matched_gaa
Kilmacud Crokes,Dublin,Leinster,53.2940018,-6.218695,matched_gaa
Kilmacud Crokes,Dublin,Leinster,53.287368,-6.199727,matched_gaa
Liffey Gaels,Dublin,Leinster,53.343187,-6.326573,matched_gaa
Lucan Sarsfields,Dublin,Leinster,53.331138,-6.459914,matched_gaa
Man-O-War GAA,Dublin,Leinster,53.552368,-6.187894,matched_gaa
Na Dubh Ghall GAA,Dublin,Leinster,53.40002,-6.134826,matched_gaa
Na Fianna GAA,Dublin,Leinster,53.374769,-6.264319,matched_gaa
Na Gaeil Óga CLG,Dublin,Leinster,53.366202,-6.466293,matched_gaa
"Naomh Barróg GAA, Kilbarrack",Dublin,Leinster,53.389779,-6.151306,matched_gaa
Naomh Fionnbarra GAA,Dublin,Leinster,53.367902,-6.305402,matched_gaa
"Naomh Mearnóg GAA, Portmarnock",Dublin,Leinster,53.43781,-6.14438,matched_gaa
Naomh Olaf GAA,Dublin,Leinster,53.281234,-6.223357,matched_gaa
"O'Dwyers, Balbriggan",Dublin,Leinster,53.617203,-6.195893,matched_gaa
O'Tooles GAA,Dublin,Leinster,53.397917,-6.184501,matched_gaa
Parnells GAA,Dublin,Leinster,53.388375,-6.205854,matched_gaa
Pavee GAA,Dublin,Leinster,53.367244,-6.276467,matched_gaa
Portobello GAA,Dublin,Leinster,53.3522484,-6.313051,matched_gaa
Portobello GAA,Dublin,Leinster,53.325131,-6.271042,matched_gaa
Raheny GAA,Dublin,Leinster,53.375695,-6.169699,matched_gaa
Ranelagh Gaels,Dublin,Leinster,53.302437,-6.294749,matched_gaa
Realt Dearg GAA,Dublin,Leinster,53.325734,-6.334636,matched_generic
Robert Emmets,Dublin,Leinster,53.310221,-6.322131,matched_gaa
Rosmini Gaels,Dublin,Leinster,53.377684,-6.249732,matched_generic
Round Towers Clondalkin,Dublin,Leinster,53.317561,-6.383978,matched_gaa
Round Towers Lusk,Dublin,Leinster,53.527932,-6.178255,matched_gaa
Samildánach,Dublin,Leinster,53.358239,-6.394732,matched_generic
Scoil Uí Chonaill GAA,Dublin,Leinster,53.361669,-6.206339,matched_gaa
Setanta GAA,Dublin,Leinster,53.391217,-6.266259,matched_gaa
Shankill GAA,Dublin,Leinster,53.240529,-6.113231,matched_gaa
Skerries Harps,Dublin,Leinster,53.577952,-6.113389,matched_gaa
St. Annes GAA,Dublin,Leinster,53.270113,-6.35494,matched_gaa
St. Brendans GAA,Dublin,Leinster,53.345737,-6.325107,matched_gaa
St. Brigids GAA,Dublin,Leinster,53.37672,-6.35321,matched_gaa
"St. Colmcilles, Balheary",Dublin,Leinster,53.467031,-6.221458,matched_gaa
"St. Enda's GAA, Ballyboden",Dublin,Leinster,53.288801,-6.317415,matched_gaa
"St. Enda's GAA, Ballyboden",Dublin,Leinster,53.28326,-6.304175,matched_generic
"St. Enda's GAA, Ballyboden",Dublin,Leinster,53.2768631,-6.3251447,matched_generic
"St. Enda's GAA, Ballyboden",Dublin,Leinster,53.29018,-6.3174121,matched_gaa
"St. Finian's GAA, Newcastle",Dublin,Leinster,53.302587,-6.486137,matched_gaa
"St. Finian's GAA, Swords",Dublin,Leinster,53.454694,-6.24281,matched_gaa
"St. Francis Gaels, Cabinteely",Dublin,Leinster,53.260307,-6.140179,matched_gaa
St. James Gaels,Dublin,Leinster,53.329547,-6.306541,matched_generic
"St. John's GAA, Ballinteer",Dublin,Leinster,53.280936,-6.262218,matched_gaa
"St. John's GAA, Ballinteer",Dublin,Leinster,53.289637,-6.269897,matched_generic
St. Joseph's/O'Connell Boys,Dublin,Leinster,53.361968,-6.225072,matched_generic
St. Judes,Dublin,Leinster,53.295589,-6.330547,matched_gaa
St. Kevins Killians,Dublin,Leinster,53.309623,-6.374888,matched_gaa
St. Margarets GAA,Dublin,Leinster,53.441961,-6.301647,matched_gaa
St. Marks,Dublin,Leinster,53.288675,-6.388894,matched_gaa
"St. Marys GAA, Saggart",Dublin,Leinster,53.279409,-6.441162,matched_generic
St. Maurs GAA,Dublin,Leinster,53.532509,-6.107058,matched_gaa
St. Monicas,Dublin,Leinster,53.388577,-6.177772,matched_gaa
St. Oliver Plunkett Eoghan Ruadh,Dublin,Leinster,53.3508212,-6.311623,matched_gaa
St. Oliver Plunkett Eoghan Ruadh,Dublin,Leinster,53.374674,-6.325746,matched_gaa
"St. Patricks GAA, Donabate",Dublin,Leinster,53.485272,-6.131696,matched_gaa
"St. Patricks GAA, Palmerstown",Dublin,Leinster,53.347297,-6.363105,matched_generic
St. Peregrines,Dublin,Leinster,53.394578,-6.404828,matched_gaa
"St. Sylvesters GAA, Malahide",Dublin,Leinster,53.4385942,-6.149861,matched_gaa
"St. Sylvesters GAA, Malahide",Dublin,Leinster,53.44135,-6.16168,matched_generic
St. Vincents,Dublin,Leinster,53.373556,-6.22989,matched_gaa
Starlights GFC,Dublin,Leinster,53.418026,-6.258731,matched_gaa
Stars of Erin GAA,Dublin,Leinster,53.219511,-6.22758,matched_gaa
Templeogue Synge Street,Dublin,Leinster,53.328594,-6.292737,matched_gaa
Thomas Davis GAA,Dublin,Leinster,53.272239,-6.362916,matched_gaa
Trinity Gaels,Dublin,Leinster,53.414809,-6.164778,matched_gaa
